icpsr,first,last,fullname,state,chamber,district,party,start,end,twitter,fold,num.tweets,done.handle.no.file,missing,tweets.svd,prop.tweets,has.alt
29566,lindsey,graham,lindseygraham,SC,Senate,NA,R,01/04/1995,01/03/2021,grahamblog,4,4243,0,0,3786,0.892,1
29566,lindsey,graham,lindseygraham,SC,Senate,NA,R,01/04/1995,01/03/2021,LindseyGrahamSC,,,,,,,1
NA,gwen,graham,gwengraham,FL,House,NA,D,01/06/2015,01/03/2017,repgwengraham,5,1253,0,1,NA,NA,0
29762,kay,granger,kaygranger,TX,House,12,R,01/07/1997,01/03/2019,repkaygranger,0,1347,0,0,1218,0.904,0
14226,charles,grassley,charlesgrassley,IA,Senate,NA,R,1/14/1975,01/03/2023,chuckgrassley,0,5617,0,0,4978,0.886,1
14226,charles,grassley,charlesgrassley,IA,Senate,NA,R,1/14/1975,01/03/2023,GrassleyPress,,,,,,,1
NA,garret,graves,garretgraves,LA,House,6,R,01/06/2015,01/03/2019,repgarretgraves,6,2180,1,0,1200,0.55,1
NA,garret,graves,garretgraves,LA,House,6,R,01/06/2015,01/03/2019,garretgraves,,,,,,,1
20124,sam,graves,samgraves,MO,House,6,R,01/03/2001,01/03/2019,repsamgraves,1,6915,1,0,5447,0.788,0
20962,tom,graves,tomgraves,GA,House,14,R,06/08/2010,01/03/2019,reptomgraves,5,3277,0,1,NA,NA,1
20962,tom,graves,tomgraves,GA,House,14,R,06/08/2010,01/03/2019,TomGravesGA14,,,,,,,1
20908,alan,grayson,alangrayson,FL,House,NA,D,01/06/2009,01/03/2017,alangrayson,3,2562,0,0,2342,0.914,0
20529,al,green,algreen,TX,House,9,D,01/04/2005,01/03/2019,repalgreen,4,749,0,1,NA,NA,0
39304,gene,green,genegreen,TX,House,29,D,01/05/1993,01/03/2019,repgenegreen,6,1236,0,0,944,0.764,1
39304,gene,green,genegreen,TX,House,29,D,01/05/1993,01/03/2019,GeneGreen29,,,,,,,1
21107,tim,griffin,timgriffin,AR,House,NA,R,01/05/2011,01/03/2015,ltgovtimgriffin,6,7443,0,0,5941,0.798,1
21107,tim,griffin,timgriffin,AR,House,NA,R,01/05/2011,01/03/2015,TG4Arkansas,,,,,,,1
21191,morgan,griffith,morgangriffith,VA,House,9,R,01/05/2011,01/03/2019,repmgriffith,2,983,0,0,855,0.87,0
20305,raul,grijalva,raulgrijalva,AZ,House,3,D,01/07/2003,01/03/2019,repraulgrijalva,7,2409,0,0,1877,0.779,1
20305,raul,grijalva,raulgrijalva,AZ,House,3,D,01/07/2003,01/03/2019,standwithraul,,,,,,,1
21154,michael,grimm,michaelgrimm,NY,House,NA,R,01/05/2011,01/03/2015,grimm4congress,4,684,0,0,243,0.355,1
21154,michael,grimm,michaelgrimm,NY,House,NA,R,01/05/2011,01/03/2015,RealMGrimm,,,,,,,1
NA,glenn,grothman,glenngrothman,WI,House,6,R,01/06/2015,01/03/2019,repgrothman,1,548,0,0,406,0.741,1
NA,glenn,grothman,glenngrothman,WI,House,6,R,01/06/2015,01/03/2019,GrothmanforWI,,,,,,,1
21152,frank,guinta,frankguinta,NH,House,NA,R,01/05/2011,01/03/2017,frankguinta,4,898,0,0,757,0.843,1
21152,frank,guinta,frankguinta,NH,House,NA,R,01/05/2011,01/03/2017,repfrankguinta,6,2185,0,0,1687,0.772,1
