,date,total,total_p,house,house_p,senate,senate_p,dems,dems_p,gop,gop_p,total_r,dems_r,gop_r,house_r,senate_r
137,2014-08-17,6728,726,5001,574,1727,152,3410,258,3213,465,0.10790725326991676,0.07565982404692081,0.14472455648926238,0.11477704459108179,0.08801389693109438
138,2014-08-24,6902,640,5195,436,1707,204,3435,192,3383,445,0.0927267458707621,0.05589519650655022,0.13154005320721254,0.08392685274302214,0.1195079086115993
139,2014-08-31,6373,686,4632,428,1741,258,3328,212,2948,470,0.10764161305507611,0.06370192307692307,0.15943012211668928,0.0924006908462867,0.1481906950028719
140,2014-09-07,9028,1200,6468,813,2560,387,4395,379,4511,813,0.1329198050509526,0.08623435722411832,0.1802261139436932,0.12569573283858998,0.151171875
141,2014-09-14,9941,1102,7211,722,2730,380,4394,457,5421,637,0.11085403882909164,0.10400546199362767,0.11750599520383694,0.10012480931909583,0.1391941391941392
142,2014-09-21,8225,930,5887,636,2338,294,4269,317,3834,600,0.11306990881458967,0.07425626610447411,0.1564945226917058,0.1080346526244267,0.12574850299401197
143,2014-09-28,8106,995,5742,668,2364,327,4165,362,3836,629,0.1227485812978041,0.08691476590636255,0.16397288842544316,0.1163357715081853,0.1383248730964467
144,2014-10-05,9027,1124,6109,648,2918,476,4803,441,4100,674,0.12451534286030796,0.09181761399125546,0.16439024390243903,0.10607300703879521,0.16312542837559973
145,2014-10-12,8536,1026,5749,604,2787,422,4264,381,4091,599,0.12019681349578257,0.08935272045028142,0.1464189684673674,0.10506174986954253,0.1514172945819878
146,2014-10-19,8972,907,6206,515,2766,392,4583,319,4258,576,0.10109228711547036,0.06960506218634083,0.13527477689055895,0.08298420883016436,0.14172089660159073
147,2014-10-26,9821,887,6836,540,2985,347,5192,330,4487,547,0.09031666836371041,0.0635593220338983,0.12190773345219523,0.07899356348741954,0.11624790619765495
148,2014-11-02,9799,669,6783,366,3016,303,5093,216,4499,443,0.0682722726808858,0.042411152562340466,0.09846632585018893,0.05395842547545334,0.10046419098143236
149,2014-11-09,6378,862,4525,596,1853,266,2868,241,3423,616,0.13515208529319536,0.08403068340306834,0.17995910020449898,0.13171270718232045,0.14355099838100377
150,2014-11-16,7568,1567,5163,1085,2405,482,3592,448,3877,1105,0.20705602536997886,0.12472160356347439,0.28501418622646374,0.21014913809800503,0.20041580041580043
151,2014-11-23,3670,421,2547,305,1123,116,1956,141,1634,274,0.11471389645776567,0.07208588957055215,0.16768665850673195,0.11974872398900667,0.10329474621549421
152,2014-11-30,6363,810,4224,525,2139,285,3159,313,3066,490,0.1272984441301273,0.09908198797087686,0.1598173515981735,0.12428977272727272,0.1332398316970547
153,2014-12-07,6128,856,4321,631,1807,225,3015,335,2939,503,0.13968668407310705,0.1111111111111111,0.17114664851990474,0.1460310113399676,0.12451577199778639
154,2014-12-14,4976,573,3370,373,1606,200,2639,164,2220,397,0.11515273311897106,0.062144751799924215,0.17882882882882883,0.11068249258160237,0.12453300124533001
155,2014-12-21,2434,200,1623,123,811,77,1268,88,1087,110,0.08216926869350863,0.0694006309148265,0.10119595216191353,0.07578558225508318,0.09494451294697903
156,2014-12-28,2192,204,1607,157,585,47,1043,49,1021,144,0.09306569343065693,0.04697986577181208,0.14103819784524976,0.09769757311761046,0.08034188034188035
157,2015-01-04,7080,860,5186,709,1894,151,3171,325,3722,521,0.12146892655367232,0.10249132765689058,0.1399785061794734,0.13671423062090243,0.07972544878563886
158,2015-01-11,6889,1164,5100,966,1789,198,3245,472,3467,681,0.16896501669327915,0.14545454545454545,0.19642342082492067,0.18941176470588236,0.1106763555058692
159,2015-01-18,9771,1491,7262,1103,2507,388,4320,474,5178,999,0.1525944120356156,0.10972222222222222,0.1929316338354577,0.15188653263563756,0.15476665337056242
160,2015-01-25,7839,935,5545,634,2268,299,3360,324,4230,587,0.11927541778288046,0.09642857142857143,0.13877068557919622,0.11433724075743913,0.1318342151675485
161,2015-02-01,9097,1481,6558,1098,2482,383,4100,558,4730,913,0.1628009233813345,0.13609756097560977,0.1930232558139535,0.16742909423604757,0.15431103948428687
162,2015-02-08,8507,1118,6080,826,2378,289,3863,507,4321,585,0.1314211825555425,0.1312451462593839,0.13538532747049295,0.13585526315789473,0.12153069806560135
163,2015-02-15,5744,749,4173,550,1529,196,2388,209,3100,506,0.13039693593314763,0.08752093802345058,0.16322580645161291,0.13179966450994487,0.12818835840418574
