handle,count,start_date,protected
RepDanDonovan,2052,2015-07-01 19:06:08,False
USRepMikeDoyle,2694,2009-05-11 13:22:08,False
DavidDreierUSA,4,2013-08-20 21:18:40,False
SenDuckworth,7684,2013-01-03 18:59:33,False
TammyforIL,3560,2011-07-03 20:43:44,False
tammyduckworth,2103,2008-12-30 03:22:18,False
RepJeffDuncan,10237,2011-01-19 20:45:16,False
RepJohnDuncanJr,709,2013-09-19 14:50:04,False
DrNealDunnFL2,1933,2017-01-02 16:06:07,False
DunnCampaign,290,2015-08-20 20:16:00,False
SenatorDurbin,17289,2011-02-04 15:50:42,False
DickDurbin,5302,2011-06-01 00:54:26,False
repdonnaedwards,6374,2009-10-15 16:04:37,False
DonnaFEdwards,12192,2012-08-24 19:09:14,False
keithellison,24860,2008-03-12 21:38:12,False
EllisonCampaign,4901,2009-06-09 17:53:24,False
RepReneeEllmers,7537,2010-11-09 12:15:55,False
Ellmers_Renee,9088,2016-07-16 19:48:55,False
JoAnnEmerson,1972,2009-10-19 13:51:30,False
RepTomEmmer,4864,2014-12-10 21:44:52,False
tomemmer,3108,2009-09-08 00:54:53,False
RepEliotEngel,5724,2010-07-07 20:34:17,False
JohnEnsign,361,2008-08-04 21:01:23,False
SenEnsign,107,2010-03-23 18:58:22,True
RepBillEnyart,386,2013-01-07 14:42:39,False
EnyartforIL12,223,2012-06-26 04:52:31,False
SenatorEnzi,4702,2011-05-02 15:26:39,False
EnziforWyo,222,2013-09-09 17:46:57,False
SenJoniErnst,4514,2014-11-02 13:32:54,False
joniernst,2628,2013-04-26 22:53:06,False
RepAnnaEshoo,2735,2011-02-08 21:36:03,False
Eshoo4Congress,297,2012-02-04 07:02:26,False
RepEspaillat,10480,2017-01-05 18:32:15,False
RepRonEstes,1459,2017-04-19 15:15:27,False
RonEstesKS,239,2016-04-19 22:38:33,False
Elizabeth_Esty,6715,2013-01-04 17:36:04,False
RepDwightEvans,20235,2009-11-17 14:25:20,False
DwightEvansPA,6429,2015-10-30 15:15:26,False
farenthold,6481,2008-12-05 12:32:52,False
Elect_Blake,704,2009-11-25 14:07:00,False
RepJohnFaso,986,2017-01-02 14:44:37,False
JohnFasoNy,1514,2015-07-13 20:34:01,False
chakafattah,12823,2009-06-17 19:39:50,False
Fattah4Congress,144,2009-10-23 16:37:30,False
russfeingold,3055,2008-10-14 18:06:35,False
SenFeinstein,10235,2012-01-27 23:06:59,False
DianneFeinstein,542,2011-09-23 14:53:07,False
RepDrewFerguson,1831,2016-12-07 19:39:25,False
DrewFergusonGA,315,2016-02-03 20:43:20,False
RepFincherTN08,2960,2011-02-08 16:24:26,False
StephenFincher,379,2009-09-22 20:49:03,False
VoteFincher,6,2017-10-22 00:35:06,False
SenatorFischer,6354,2013-01-08 16:49:07,False
DebFischerNE,892,2011-06-24 22:41:23,False
RepBrianFitz,1850,2017-01-03 15:20:39,False
BrianFitzUSA,692,2016-02-13 18:11:30,False
RepFitzpatrick,5224,2011-01-14 00:38:49,False
JeffFlake,2865,2008-08-30 17:00:58,False
RepChuck,3327,2011-01-07 15:46:29,False
chuck4congress,1756,2009-06-23 17:16:39,False
RepFleming,1638,2009-10-23 15:42:30,False
RepBillFlores,12129,2011-01-12 15:20:23,False
Flores4Congress,6341,2009-12-16 09:01:54,False
Randy_Forbes,3316,2008-06-18 18:32:37,False
RepRandyForbes,1102,2009-09-03 15:34:29,False
JeffFortenberry,3914,2009-01-09 16:14:19,False
RepBillFoster,4395,2013-01-11 18:17:11,False
Foster4Congress,573,2010-09-08 17:10:54,False
virginiafoxx,4670,2008-09-12 13:30:07,False
foxxforcongress,871,2009-07-30 21:47:03,False
BarneyFrank,226,2013-07-23 01:38:35,False
RepLoisFrankel,7399,2013-01-10 16:58:38,False
LoisFrankel,897,2011-08-05 21:49:18,False
alfranken,3365,2007-07-08 21:48:38,False
SenFranken,3992,2010-07-28 16:11:35,False
RepMarciaFudge,6760,2010-06-08 17:54:06,False
mlfudge,321,2009-01-10 06:56:46,False
TulsiPress,4549,2013-01-05 22:57:50,False
TulsiGabbard,10375,2009-03-26 00:14:32,False
mattgaetz,12627,2009-07-20 20:24:48,False
RepMattGaetz,5841,2017-01-10 22:32:25,False
RepGallagher,3295,2017-01-02 17:02:57,False
MikeforWI,1280,2013-06-30 15:34:55,False
eltongallegly24,396,2009-05-15 19:57:06,True
Pete4TX,853,2014-05-20 20:32:56,False
petegallego,3661,2009-08-26 19:10:29,False
RepRubenGallego,5441,2015-01-07 19:31:08,False
RubenGallego,13703,2009-06-21 03:26:23,False
RepGaramendi,14501,2009-11-10 00:31:12,False
JohnGaramendi,920,2009-01-12 17:25:02,False
JoeGarcia,4474,2007-12-26 09:19:44,False
SenCoryGardner,5607,2011-01-07 17:02:56,False
CoryGardner,1697,2009-02-14 23:33:30,False
Rep_Tom_Garrett,0,2017-07-21 15:40:36,False
RepTomGarrett,1555,2017-01-09 14:14:12,False
RepGarrett,796,2012-11-20 15:44:58,False
RepBobGibbs,3457,2011-01-06 17:17:21,False
RepChrisGibson,1686,2011-01-06 23:23:12,False
ChrisGibsonNY,1213,2010-03-04 21:26:18,False
GabbyGiffords,4920,2009-06-02 18:43:03,False
SenGillibrand,19729,2009-09-07 03:53:24,False
gillibrandny,896,2017-08-22 12:56:39,False
DrPhilGingrey,1885,2009-04-17 18:17:01,False
PhilGingreyMD,949,2013-03-20 14:37:11,False
replouiegohmert,8137,2009-02-26 20:14:28,False
LouieGohmertTX1,103,2016-01-28 23:30:55,False
TX20CharlieG,1036,2011-01-31 21:42:34,False
RepGonzalez,1796,2017-01-09 19:13:21,False
Vicentecongress,788,2015-12-01 20:59:14,False
RepGoodlatte,6250,2009-05-05 13:18:55,False
BobGoodlatte6,260,2013-05-29 16:52:44,False
RepGosar,12576,2011-01-20 17:44:27,False
DrPaulGosar,3196,2017-06-06 17:50:35,False
RepJoshG,5569,2016-12-31 21:35:47,False
JoshGottheimer,2276,2011-12-07 22:45:24,False
TGowdySC,2020,2011-01-12 16:57:04,False
tgowdy,255,2009-03-05 21:35:16,False
GrahamBlog,4231,2008-05-20 13:57:21,False
LindseyGrahamSC,11246,2011-12-09 22:21:03,False
RepKayGranger,2395,2010-07-01 17:14:51,False
ChuckGrassley,8952,2007-11-26 15:17:02,False
GrassleyPress,10049,2011-05-06 15:35:48,False
RepGarretGraves,3904,2014-12-30 17:51:24,False
garretgraves,1265,2012-05-22 00:57:19,False
RepSamGraves,8584,2009-04-08 17:20:43,False
RepTomGraves,4723,2010-09-13 17:36:23,False
TomGravesGA14,1576,2009-03-17 07:02:42,False
AlanGrayson,3761,2009-05-19 01:00:40,False
RepAlGreen,2337,2010-06-16 17:20:23,False
LtGovTimGriffin,8368,2010-10-11 01:14:22,False
TG4Arkansas,5769,2009-12-29 02:49:29,False
RepMGriffith,1654,2011-01-04 19:05:24,False
RepRaulGrijalva,6625,2009-04-03 16:55:32,False
standwithraul,2385,2010-04-21 20:52:45,False
Grimm4Congress,684,2010-02-18 15:04:37,False
